"","id","name","top","bottom","hue","value","chroma","thickness","Calhaus","Cascalho","TFSA","pH","P","Na","K","Ca","Mg","Al","H_AL","C","H","N","SM","BD","PD","clay","sand","silt","textural_class","soil_class","UM","DEM","slope","aspect","northernness","plan_curv","prof_curv","convergence","cat_area","twi","ls_factor","rsp","chnd","chnb","band1","band2","band3","band4","band5","NDVI","SAVI","X","Y"
"1","P1","A1",0,10,"7.5YR",3,1,10,NA,NA,NA,5.3,12,0.111,0.24,1.8,1.3,0.4,12,5.5,NA,NA,3.7,1.29,"2.4700000000000002",206,594,200,"franco_argilo_arenosa","CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"2","P1","A2",10,16,"7.5YR",3,1,6,NA,NA,NA,5.1,7,0.079,0.14,1.7,1,0.6,10.1,10.2,NA,NA,2.2,1.55,"2.4700000000000002",269,559,172,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"3","P1","BA",16,30,"7.5YR",4,4,14,NA,NA,NA,4.7,3,0.083,0.04,1.1,0.7,1.6,6.7,9.5,NA,NA,5.3,1.55,"2.54",319,563,118,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"4","P1","Bi1",30,54,"7.5YR",5,8,24,NA,NA,NA,5,2,0.127,0.02,1.3,1.1,1.7,8.1,8.5,NA,NA,9.3,1.51,"2.5099999999999998",339,510,151,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"5","P1","Bi2",54,87,"10YR",5,8,33,NA,NA,NA,4.8,1,0.294,0.02,1.7,1.3,1.5,6.7,8.6,NA,NA,7,1.67,"2.54",287,619,94,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"6","P1","BC",87,115,"5YR",5,6,28,NA,NA,NA,5.1,4,0.306,0.02,1.7,1.5,1.8,5.8,8.4,NA,NA,12,1.77,"2.5",271,648,81,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"7","P1","CB",115,130,"5YR",6,0,15,NA,NA,NA,5.1,4,0.34,0.03,1.9,1.5,2.3,7.3,8.4,NA,NA,5.3,1.77,"2.54",146,701,153,NA,"CAMBISSOLO HÁPLICO Ta Distrófico típico","UM1",22.1202697753906,5.62668418884277,239.021835327148,59.0218353271484,-0.00967862643301487,-0.00947115384042263,-6.18221712112427,1116.98937988281,8.66809463500977,0.703919053077698,0.113310024142265,1.32174491882324,20.7985248565674,0.141699999570847,0.17620000243187,0.142399996519089,0.303200006484985,0.658500015735626,0.644400060176849,0.595088005065918,636028.299999666,7483402.12992333
"8","P2","A",0,8,"5YR",4,1,8,NA,NA,NA,5.3,23,0.083,0.18,0.2,1,0.2,5.6,9.3,NA,NA,3.8,1.43,"2,58",99,809,92,NA,"PLANOSSOLO HÁPLICO Distrófico arênico","UM2",25.0972652435303,9.95003318786621,216.810760498047,36.8107604980469,0.012931658886373,0.0092155197635293,3.71356153488159,20.0696563720703,4.07885599136353,0.6582270860672,0.493227064609528,4.9644718170166,20.1327934265137,0.206799998879433,0.253699988126755,0.241200000047684,0.346300005912781,0.49439999461174,0.344208806753159,0.3073810338974,636023.819999666,7483435.21992333
"9","P2","AE",8,22,"7.5YR",4,1,14,NA,NA,NA,5.6,10,0.087,0.11,1.1,0.6,0,3,6.3,NA,NA,2.2,1.48,"2.5299999999999998",43,876,81,NA,"PLANOSSOLO HÁPLICO Distrófico arênico","UM2",25.0972652435303,9.95003318786621,216.810760498047,36.8107604980469,0.012931658886373,0.0092155197635293,3.71356153488159,20.0696563720703,4.07885599136353,0.6582270860672,0.493227064609528,4.9644718170166,20.1327934265137,0.206799998879433,0.253699988126755,0.241200000047684,0.346300005912781,0.49439999461174,0.344208806753159,0.3073810338974,636023.819999666,7483435.21992333
"10","P2","E",22,69,"10YR",5,2,47,NA,NA,NA,5.4,2,0.087,0.07,0.6,0.4,0.1,1.5,8.6,NA,NA,2.1,1.56,"2.59",92,831,77,NA,"PLANOSSOLO HÁPLICO Distrófico arênico","UM2",25.0972652435303,9.95003318786621,216.810760498047,36.8107604980469,0.012931658886373,0.0092155197635293,3.71356153488159,20.0696563720703,4.07885599136353,0.6582270860672,0.493227064609528,4.9644718170166,20.1327934265137,0.206799998879433,0.253699988126755,0.241200000047684,0.346300005912781,0.49439999461174,0.344208806753159,0.3073810338974,636023.819999666,7483435.21992333
